"Name","Location","Start","End","Result"
"American Revolutionary War","Eastern North America, Gibraltar, India, Caribbean Sea, and the Atlantic","1775","1783","Victory"
"Cherokee–American wars","Old Southwest","1776","1795","Victory"
"Northwest Indian War","Northwest Territory","1785","1793","Victory"
"Shays' Rebellion","Massachusetts","1786","1787","Victory"
"Whiskey Rebellion","Western Pennsylvania","1791","1794","Victory"
"Quasi-War","Atlantic Ocean, the Caribbean, the Indian Ocean and the Mediterranean","1798","1800","Victory"
"First Barbary War","Mediterranean Sea off the coast of Tripoli.","1801","1805","Victory"
"1811 German Coast Uprising",NA,"1811",NA,"Victory"
"Tecumseh's War","Northwest River Ohio","1811",NA,"Victory"
"War of 1812","Eastern and Central North America","1812",NA,"Stalemate"
"Creek War","Southern United States","1813","1814","Victory"
"Second Barbary War","Mediterranean Sea and the Barbary states.","1815",NA,"Victory"
"First Seminole War","Pensacola, Florida","1817","1818","Victory"
"Texas–Indian wars","Texas","1820","1875","Victory"
"Arikara War",NA,"1823",NA,"Partial"
"Aegean Sea Anti-Piracy Operations of the United States","Off Greece, Aegean Sea","1825","1828","Victory"
"Winnebago War",NA,"1827",NA,"Victory"
"First Sumatran expedition","Aceh Sultanate","1832",NA,"Victory"
"Black Hawk War","Illinois and Michigan Territory","1832",NA,"Victory"
"Second Seminole War","Florida, United States","1835","1842","Victory"
"Second Sumatran expedition",NA,"1838",NA,"Victory"
"Aroostook War",NA,"1838",NA,"Compromise"
"Ivory Coast Expedition","Ivory Coast","1842",NA,"Victory"
"Mexican–American War","Texas, New Mexico, California and Mexico","1846","1848","Victory"
"Cayuse War",NA,"1847","1855","Victory"
"Apache Wars","Southwestern United States","1851","1900","Victory"
"Puget Sound War",NA,"1855","1856","Victory"
"First Fiji Expedition",NA,"1855",NA,"Victory"
"Rogue River Wars",NA,"1855","1856","Victory"
"Third Seminole War",NA,"1855","1858","Victory"
"Yakima War","Washington Territory","1855","1858","Victory"
"Second Opium War","China","1856","1859","Victory"
"Utah War",NA,"1857","1858","Compromise"
"Navajo Wars","New Mexico","1858","1866","Victory"
"Second Fiji Expedition",NA,"1859",NA,"Victory"
"John Brown's raid on Harpers Ferry","West Virginia","1859",NA,"Victory"
"First and Second Cortina War",NA,"1859","1861","Victory"
"Paiute War",NA,"1860",NA,"Victory"
"American Civil War","United States","1861","1865","Victory"
"Yavapai Wars",NA,"1861","1875","Victory"
"Dakota War of 1862","Minnesota and Dakota","1862",NA,"Victory"
"Colorado War",NA,"1863","1865","Victory"
"Shimonoseki War","Kanmon Straits","1863","1864","Victory"
"Snake War",NA,"1864","1868","Victory"
"Powder River War",NA,"1865",NA,"Stalemate"
"Red Cloud's War","Powder River State","1866","1868","Defeat"
"Formosa Expedition","Southern Formosa (Taiwan)","1867",NA,"Defeat"
"Comanche Campaign","Western United States","1867","1875","Victory"
"United States expedition to Korea","Ganghwado","1871",NA,"Victory"
"Modoc War","California and Oregon","1872","1873","Victory"
"Red River War",NA,"1874","1875","Victory"
"Las Cuevas War","Texas and Mexico","1875",NA,"Victory"
"Great Sioux War of 1876","Montana, Dakota and Wyoming","1876",NA,"Victory"
"Buffalo Hunters' War",NA,"1876","1877","Victory"
"Nez Perce War","Oregon, Idaho, Wyoming, and Montana","1877",NA,"Victory"
"Bannock War",NA,"1878",NA,"Victory"
"Cheyenne War","Oklahoma, Kansas, Nebraska, South Dakota and Montana","1878","1879","Victory"
"Sheepeater Indian War",NA,"1879",NA,"Victory"
"Victorio's War",NA,"1879","1881","Victory"
"White River War",NA,"1879","1880","Victory"
"Pine Ridge Campaign","South Dakota","1890","1891","Victory"
"Garza Revolution","Texas and Mexico","1891","1893","Victory"
"Yaqui Wars","Arizona and Mexico","1896","1918","Victory"
"Second Samoan Civil War","Samoa","1898","1899","Compromise"
"Spanish–American War","Cuba, Puerto Rico, Philippines and Guam","1898",NA,"Victory"
"Philippine–American War","Philippines","1899","1902","Victory"
"Moro Rebellion",NA,"1899","1913","Victory"
"Boxer Rebellion","China","1899","1901","Victory"
"Crazy Snake Rebellion","Oklahoma","1909",NA,"Victory"
"Border War","Mexico–United States border","1910","1919","Victory"
"Negro Rebellion","Cuba","1912",NA,"Victory"
"Occupation of Nicaragua","Nicaragua","1912","1933","Victory"
"Bluff War","Utah and Colorado","1914","1915","Victory"
"Occupation of Veracruz","Mexico","1914",NA,"Victory"
"Occupation of Haiti","Haiti","1915","1934","Victory"
"Occupation of the Dominican Republic","Dominican Republic","1916","1924","Victory"
"World War I","Europe, Africa, Asia, Middle East, the Pacific Islands, and coast of North and South America","1914","1918","Victory"
"Russian Civil War","Russia, Mongolia, and Iran","1918","1920","Defeat"
"Last Indian Uprising","Utah","1923",NA,"Victory"
"World War II","Europe, Pacific Ocean, Atlantic Ocean, Southeast Asia, Middle East, Mediterranean, North Africa, North and South America","1939","1945","Victory"
"Korean War","Korea","1950","1953","Stalemate"
"Laotian Civil War","Laos","1953","1975","Defeat"
"Lebanon Crisis","Lebanon","1958",NA,"Victory"
"Bay of Pigs Invasion",NA,"1961",NA,"Defeat"
"Vietnam War","Vietnam, Cambodia, and Laos","1965","1973","Defeat"
"Communist insurgency in Thailand","Thailand","1965",NA,"Victory"
"Korean DMZ Conflict","Korean Demilitarized Zone","1966","1969","Victory"
"Dominican Civil War","Dominican Republic","1965",NA,"Victory"
"Insurgency in Bolivia",NA,"1966","1967","Victory"
"Cambodian Civil War","Cambodia","1967","1975","Defeat"
"War in South Zaire",NA,"1978",NA,"Victory"
"Operation Eagle Claw","Iran","1980",NA,"Blunder"
"Gulf of Sidra encounter",NA,"1981",NA,"Victory"
"Lebanese Civil War","Lebanon","1982","1984","Defeat"
"Invasion of Grenada","Grenada","1983",NA,"Victory"
"Action in the Gulf of Sidra",NA,"1986",NA,"Victory"
"Bombing of Libya","Libya","1986",NA,"Victory"
"Tanker War","Persian Gulf","1987","1988","Victory"
"Tobruk encounter","Mediterranean Sea","1989",NA,"Victory"
"Invasion of Panama","Panama","1989","1990","Victory"
"Gulf War","Iraq, Kuwait, Saudi Arabia, and Israel","1990","1991","Victory"
"Iraqi No-Fly Zone Enforcement","Iraq","1991","2003","Victory"
"First Intervention in the Somali Civil War","Somalia","1992","1995","Mixed"
"Bosnian War","Bosnia and Herzegovina","1992","1995","Victory"
"Intervention in Haiti","Haiti","1994","1995","Victory"
"Kosovo War","Serbia","1998","1999","Victory"
"Operation Infinite Reach","Sudan and Afghanistan","1998",NA,"Blunder"
"War in Afghanistan","Afghanistan","2001","","Ongoing"
"Iraq War","Iraq","2003","2011","Victory"
"War in North-West Pakistan","Pakistan","2004","","Ongoing"
"War in Somalia","Somalia and Northeastern Kenya","2007","","Ongoing"
"Operation Ocean Shield","Indian Ocean","2009","2016","Victory"
"American-led intervention in Libya","Libya","2011",NA,"Victory"
"American-led intervention in Iraq","Iraq","2014","2017","Victory"
"American-led intervention in Syria","Syria","2014","","Ongoing"
"Yemeni Civil War","Yemen","2015","","Ongoing"
"American intervention in Libya","Libya","2015","","Ongoing"
